1 	 310
2 	 202
3 	 147
4 	 110
5 	 93
6 	 77
7 	 78
8 	 70
9 	 48
10 	 47
11 	 62
12 	 49
13 	 44
14 	 35
15 	 52
16 	 39
17 	 35
18 	 36
19 	 37
20 	 37
21 	 31
22 	 29
23 	 34
24 	 25
25 	 24
26 	 32
27 	 23
28 	 25
29 	 20
30 	 26
31 	 23
32 	 16
33 	 28
34 	 19
35 	 18
36 	 22
37 	 23
38 	 20
39 	 12
40 	 15
41 	 8
42 	 20
43 	 16
44 	 17
45 	 15
46 	 19
47 	 17
48 	 19
49 	 20
50 	 23
51 	 13
52 	 15
53 	 16
54 	 12
55 	 16
56 	 8
57 	 12
58 	 19
59 	 8
60 	 10
61 	 3
62 	 12
63 	 11
64 	 9
65 	 9
66 	 16
67 	 13
68 	 11
69 	 11
70 	 13
71 	 11
72 	 10
73 	 8
74 	 12
75 	 10
76 	 15
77 	 12
78 	 8
79 	 13
80 	 13
81 	 5
82 	 9
83 	 8
84 	 20
85 	 15
86 	 10
87 	 13
88 	 13
89 	 5
90 	 5
91 	 11
92 	 16
93 	 6
94 	 13
95 	 7
96 	 9
97 	 9
98 	 6
99 	 6
100 	 4
101 	 1
102 	 15
103 	 7
104 	 10
105 	 9
106 	 8
107 	 9
108 	 12
109 	 9
110 	 10
111 	 5
112 	 15
113 	 11
114 	 10
115 	 12
116 	 9
117 	 6
118 	 10
119 	 5
120 	 6
121 	 9
122 	 8
123 	 3
124 	 6
125 	 9
